word,part_of_speech,speaking,writing,pronunciation,pronunciation_us,pronunciation_uk
approximate,adj,S3,W3,,əˈprɑːksɪmət (strong)/əˈprɒksɪmət (weak),əˈprɑːksɪmeɪt (strong)/əˈprɒksɪmeɪt (weak)
architect,n,,W3,,ˈɑːrkɪtekt,ˈɑːkɪtekt
architecture,n,S3,W3,,ˈɑːrkɪtektʃər,ˈɑːkɪtektʃə
area,n,S1,W1,,ˈerɪə,ˈeərɪə
argue,v,S2,W1,,ˈɑːrɡjuː,ˈɑːɡjuː
argument,n,S1,W1,,ˈɑːrɡjʊmənt,ˈɑːɡjʊm(ə)nt
arise,v,S3,W2,əˈraɪz,,
arm,n,S1,W1,,ɑːrm,ɑːm
armed,adj,S3,W3,,ɑːrmd,ɑːmd
army,n,S1,W1,,ˈɑːrmɪ,ˈɑːmɪ
around,adv/prep,S1,W1,əˈraʊnd,,
arrange,v,S2,W2,,əˈreɪndʒ,əˈreɪn(d)ʒ
arrangement,n,S2,W2,,əˈreɪndʒmənt,əˈreɪn(d)ʒm(ə)nt
arrest,v,,W3,əˈrest,,
arrival,n,,W3,,əˈraɪvl,əˈraɪv(ə)l
arrive,v,S2,W1,əˈraɪv,,
art,n,S1,W1,,ɑːrt,ɑːt
article,n,S2,W1,,ˈɑːrtɪkl,ˈɑːtɪk(ə)l
artificial,adj,S3,,,ˌɑːrtɪˈfɪʃl,ɑːtɪˈfɪʃ(ə)l
artist,n,S3,W2,,ˈɑːrtɪst,ˈɑːtɪst
as,conj,S1,W1,æz (strong)/əz (weak),,
as,adv/prep,S1,W1,æz (strong)/əz (weak),,
ashamed,adj,S3,,əˈʃeɪmd,,
aside,adv,S3,W3,əˈsaɪd,,
ask,v,S1,W1,,æsk,ɑːsk
asleep,adj,S2,,əˈsliːp,,
aspect,n,S2,W1,ˈæspekt,,
assess,v,S2,W2,əˈses,,
assessment,n,S3,W2,əˈsesmənt,,
assignment,n,S2,,,əˈsaɪnmənt,əˈsaɪnm(ə)nt
