word,part_of_speech,speaking,writing,pronunciation,pronunciation_us,pronunciation_uk
drawer,n,S3,,,drɔːr,drɔː
drawing,n,S3,W3,ˈdrɔːɪŋ,,
dream,n,S2,W2,driːm,,
dream,v,S3,W3,driːm,,
dress,n,S2,W2,dres,,
dress,v,S2,W2,dres,,
drink,n,S1,W2,drɪŋk,,
drink,v,S1,W2,drɪŋk,,
drive,n,S2,W2,draɪv,,
drive,v,S1,W1,draɪv,,
driver,n,S1,W2,,ˈdraɪvər,ˈdraɪvə
drop,n,S2,W3,,drɑːp,drɒp
drop,v,S1,W2,,drɑːp,drɒp
drug,n,S2,W1,,drʌɡ,ˈdrʌɡ
drunk,adj,S3,,drʌŋk,,
dry,adj,S2,W2,draɪ,,
dry,v,S2,W3,draɪ,,
duck,n,S3,,dʌk,,
dude,n,S3,,,duːd,djuːd
due,adj,S1,W1,,duː,djuː
dull,adj,S3,,dʌl,,
dumb,adj,S3,,dʌm,,
dump,v,S3,,dʌmp,,
during,prep,S1,W1,,ˈdʊrɪŋ,ˈdjʊərɪŋ
dust,n,S3,W3,dʌst,,
duty,n,S2,W1,,ˈduːtɪ,ˈdjuːtɪ
DVD,n,S3,W3,,,
each,determiner/pron,S1,W1,iːtʃ,,
each other,pron,S1,W1,,,
ear,n,S2,W2,,ɪr,ɪə
early,adj,S1,W1,,ˈɜːrlɪ,ˈɜːlɪ
early,adv,S1,W1,,ˈɜːrlɪ,ˈɜːlɪ
earn,v,S2,W2,,ɜːrn,ɜːn
earth,n,S2,W2,,ɜːrθ,ɜːθ
ease,v,,W3,iːz,,
easily,adv,S2,W1,,ˈiːzəlɪ,ˈiːzɪlɪ
east,n,S1,W2,iːst,,
eastern,adj,S2,W2,,ˈiːstərn,ˈiːst(ə)n
easy,adj,S1,W1,ˈiːzɪ,,
easy,adv,S2,,ˈiːzɪ,,
eat,v,S1,W1,iːt,,
economic,adj,S2,W1,,ˌiːkəˈnɑːmɪk,ˌiːkəˈnɒmɪk
economics,n,,W3,,ˌiːkəˈnɑːmɪks,iːkəˈnɒmɪks
economy,n,S2,W1,,ɪˈkɑːnəmɪ,ɪˈkɒnəmɪ
edge,n,S2,W2,edʒ,,
edition,n,,W3,,ɪˈdɪʃn,ɪˈdɪʃ(ə)n
editor,n,,W2,,ˈedɪtər,ˈedɪtə
education,n,S1,W1,,ˌedʒʊˈkeɪʃn,edʒʊˈkeɪʃ(ə)n
educational,adj,S3,W2,,ˌedʒʊˈkeɪʃənl,edjʊˈkeɪʃ(ə)n(ə)l
effect,n,S1,W1,ɪˈfekt,,
effective,adj,S2,W1,ɪˈfektɪv,,
effectively,adv,S3,W2,ɪˈfektɪvlɪ,,
efficiency,n,,W3,,ɪˈfɪʃnsɪ,ɪˈfɪʃ(ə)nsɪ
efficient,adj,S3,W3,,ɪˈfɪʃnt,ɪˈfɪʃ(ə)nt
effort,n,S1,W1,,ˈefərt,ˈefət
egg,n,S1,W2,eɡ,,
either,conj,S1,W1,,ˈiːðər,ˈaɪðə
either,determiner/pron,S1,W1,,ˈiːðər,ˈaɪðə
elderly,adj,S3,W2,,ˈeldərlɪ,ˈeldəlɪ
elect,v,S3,W3,ɪˈlekt,,
election,n,S2,W1,,ɪˈlekʃn,ɪˈlekʃ(ə)n
electric,adj,S2,W3,ɪˈlektrɪk,,
electrical,adj,S3,,,ɪˈlektrɪkl,ɪˈlektrɪk(ə)l
electricity,n,S2,W3,,ɪˌlekˈtrɪsətɪ,ˌɪlekˈtrɪsɪtɪ
electronic,adj,S3,W3,,ɪˌlekˈtrɑːnɪk,ɪlekˈtrɒnɪk
element,n,S2,W1,,ˈelɪmənt,ˈelɪm(ə)nt
elevator,n,S3,W3,,ˈelɪveɪtər,ˈelɪveɪtə
else,adv,S1,W1,els,,
elsewhere,adv,S3,W2,,ˌelsˈwer,elsˈweə
email,n,S2,W2,ˈiːmeɪl,,
email,v,S2,W2,ˈiːmeɪl,,
embarrassed,adj,S3,,ɪmˈbærəst,,
emerge,v,,W2,,ɪˈmɜːrdʒ,ɪˈmɜːdʒ
emergency,n,S3,W3,,ɪˈmɜːrdʒənsɪ,ɪˈmɜːdʒ(ə)nsɪ
emotion,n,,W3,,ɪˈməʊʃn,ɪˈməʊʃ(ə)n
emotional,adj,S3,W3,,ɪˈməʊʃənl,ɪˈməʊʃ(ə)n(ə)l
emphasis,n,S3,W2,ˈemfəsɪs,,
emphasize,v,S3,W2,ˈemfəsaɪz,,
empire,n,,W3,,ˈempaɪər,ˈempaɪə
employ,v,S3,W2,ɪmˈplɔɪ,,
employee,n,S2,W2,,ɪmˈplɔɪiː,emplɔɪˈiː
employer,n,S2,W2,,ɪmˈplɔɪər,ɪmˈplɔɪə
employment,n,S2,W1,,ɪmˈplɔɪmənt,ɪmˈplɔɪm(ə)nt
empty,adj,S2,W2,,ˈemptɪ,ˈem(p)tɪ
enable,v,S3,W1,,ɪˈneɪbl,ɪˈneɪb(ə)l
encounter,v,,W3,,ɪnˈkaʊntər,ɪnˈkaʊntə
encourage,v,S2,W1,,ɪnˈkɜːrɪdʒ,ɪnˈkʌrɪdʒ
encouraging,adj,S3,,,ɪnˈkɜːrɪdʒɪŋ,eŋˈkʌrɪdʒɪŋ ɪŋˈkʌrɪdʒɪŋ
end,n,S1,W1,end,,
end,v,S1,W1,end,,
enemy,n,,W2,ˈenəmɪ,,
energy,n,S2,W1,,ˈenərdʒɪ,ˈenədʒɪ
engage,v,,W3,ɪnˈɡeɪdʒ,,
engine,n,S2,W2,ˈendʒɪn,,
engineer,n,S3,W3,,ˌendʒɪˈnɪr,endʒɪˈnɪə
engineering,n,S3,W3,,ˌendʒɪˈnɪrɪŋ,endʒɪˈnɪərɪŋ
enhance,v,,W3,,ɪnˈhæns,ɪnˈhɑːns
enjoy,v,S1,W1,ɪnˈdʒɔɪ,,
enjoyable,adj,S3,,,ɪnˈdʒɔɪəbl,ɪnˈdʒɔɪəb(ə)l
enormous,adj,S2,W3,,ɪˈnɔːrməs,ɪˈnɔːməs
enough,adv,S1,W1,ɪˈnʌf,,
enough,determiner/pron,S1,W2,ɪˈnʌf,,
enquiry,n,S2,W2,,ˈɪnkwərɪ,ɪnˈkwaɪrɪ
ensure,v,S2,W1,,ɪnˈʃʊr,ɪnˈʃʊə
enter,v,S2,W1,,ˈentər,ˈentə
enterprise,n,,W2,,ˈentərpraɪz,ˈentəpraɪz
entertainment,n,S3,W3,,ˌentərˈteɪnmənt,entəˈteɪnm(ə)nt
enthusiasm,n,,W3,,ɪnˈθuːzɪæzəm,ɪnˈθjuːzɪæz(ə)m
enthusiastic,adj,S3,,,ɪnˌθuːzɪˈæstɪk,ɪnˌθjuːzɪˈæstɪk
entire,adj,S3,W2,,ɪnˈtaɪər,ɪnˈtaɪə
entirely,adv,S2,W2,,ɪnˈtaɪərlɪ,ɪnˈtaɪəlɪ
entitle,v,S3,W3,,ɪnˈtaɪtl,ɪnˈtaɪt(ə)l
entrance,n,S3,W3,,ˈentrəns,ˈentr(ə)ns
entry,n,S3,W2,ˈentrɪ,,
envelope,n,S3,,ˈenvələʊp,,
environment,n,S1,W1,,ɪnˈvaɪrənmənt,ɪnˈvaɪrənm(ə)nt
environmental,adj,S2,W2,,ɪnˌvaɪrənˈmentl,ɪnvaɪrənˈment(ə)l
equal,adj,S1,W2,,ˈiːkwəl,ˈiːkw(ə)l
equal,v,S2,,,ˈiːkwəl,ˈiːkw(ə)l
equally,adv,S3,W2,,ˈiːkwəlɪ,ˈiːkw(ə)lɪ
equipment,n,S2,W2,,ɪˈkwɪpmənt,ɪˈkwɪpm(ə)nt
equivalent,adj,,W3,,ɪˈkwɪvələnt,ɪˈkwɪv(ə)l(ə)nt
era,n,,W3,,ˈɪrə,ˈɪərə
error,n,S3,W2,,ˈerər,ˈerə
escape,n,S3,,ɪˈskeɪp,,
escape,v,S3,W2,ɪˈskeɪp,,
especially,adv,S1,W1,,ɪˈspeʃəlɪ,ɪˈspeʃ(ə)lɪ
essay,n,S3,,,ˈeseɪ (strong)/ˈeseɪ (weak),eˈseɪ (strong)/eˈseɪ (weak)
essential,adj,S3,W2,,ɪˈsenʃl,ɪˈsenʃ(ə)l
essentially,adv,S2,W3,,ɪˈsenʃəlɪ,ɪˈsenʃ(ə)lɪ
establish,v,S2,W1,ɪˈstæblɪʃ,,
establishment,n,,W2,,ɪˈstæblɪʃmənt,ɪˈstæblɪʃm(ə)nt
estate,n,S2,W2,ɪˈsteɪt,,
estimate,n,S3,W2,,ˈestɪmeɪt (strong)/ˈestɪmeɪt (weak),ˈestɪmət (strong)/ˈestɪmət (weak)
estimate,v,S3,W2,,ˈestɪmeɪt (strong)/ˈestɪmeɪt (weak),ˈestɪmət (strong)/ˈestɪmət (weak)
ethnic,adj,,W3,ˈeθnɪk,,
even,adv,S1,W1,ˈiːvn,,
evening,n,S1,W1,,ˈiːvnɪŋ,ˈiːv(ə)nɪŋ
event,n,S1,W1,ɪˈvent,,
eventually,adv,S1,W2,ɪˈventʃʊəlɪ,,
ever,adv,S1,W1,,ˈevər,ˈevə
every,determiner,S1,W1,ˈevrɪ,,
everybody,pron,S1,W3,,ˈevrɪbɑːdɪ,ˈevrɪbɒdɪ
everyone,pron,S1,W1,ˈevrɪwʌn,,
everything,pron,S1,W1,ˈevrɪθɪŋ,,
everywhere,adv,S2,W3,,ˈevrɪwer,ˈevrɪweə
evidence,n,S2,W1,,ˈevɪdəns,ˈevɪd(ə)ns
evil,adj,S3,W3,ˈiːvl,,
exact,adj,S3,,ɪɡˈzækt,,
exactly,adv,S1,W2,,ɪɡˈzæktlɪ,ɪɡˈzæk(t)lɪ
exam,n,S1,,ɪɡˈzæm,,
examination,n,,W2,,ɪɡˌzæməˈneɪʃən,ɪɡˌzæmɪˈneɪʃən
examine,v,S3,W2,ɪɡˈzæmɪn,,
example,n,S1,W1,,ɪɡˈzæmpl,ɪɡˈzɑːmp(ə)l
excellent,adj,S1,W2,,ˈeksələnt,ˈeks(ə)l(ə)nt
except,conj/prep,S2,W2,ɪkˈsept,,
exception,n,S3,W2,,ɪkˈsepʃn,ɪkˈsepʃ(ə)n
exchange,n,S2,W1,ɪksˈtʃeɪndʒ,,
excitement,n,S3,W3,ɪkˈsaɪtmənt,,
exciting,adj,S2,W3,ɪkˈsaɪtɪŋ,,
exclude,v,,W3,ɪkˈskluːd,,
excuse,n,S3,,,ɪkˈskjuːs (strong)/ɪkˈskjuːs (weak),ɪkˈskjuːz (strong)/ɪkˈskjuːz (weak)
excuse,v,S1,,,ɪkˈskjuːs (strong)/ɪkˈskjuːs (weak),ɪkˈskjuːz (strong)/ɪkˈskjuːz (weak)
executive,adj,,W3,,ɪɡˈzekjətɪv,ɪɡˈzekjʊtɪv
executive,n,S3,W2,,ɪɡˈzekjətɪv,ɪɡˈzekjʊtɪv
exercise,n,S2,W2,,ˈeksərsaɪz,ˈeksəsaɪz
exercise,v,S3,W2,,ˈeksərsaɪz,ˈeksəsaɪz
exhibition,n,,W2,,ˌeksɪˈbɪʃn,eksɪˈbɪʃ(ə)n
exist,v,S2,W1,ɪɡˈzɪst,,
existence,n,S3,W2,,ɪɡˈzɪstəns,ɪɡˈzɪst(ə)ns
existing,adj,S2,W2,ɪɡˈzɪstɪŋ,,
exit,n,S3,,ˈeksɪt,,
expand,v,S3,W3,ɪkˈspænd,,
expansion,n,,W3,,ɪkˈspænʃn,ɪkˈspænʃ(ə)n
expect,v,S1,W1,ɪkˈspekt,,
expectation,n,S3,W2,,ˌekspekˈteɪʃn,ekspekˈteɪʃ(ə)n
expenditure,n,,W3,,ɪkˈspendɪtʃər,ɪkˈspendɪtʃə
expense,n,S3,W2,ɪkˈspens,,
expensive,adj,S1,W2,ɪkˈspensɪv,,
experience,n,S1,W1,,ɪkˈspɪrɪəns,ɪkˈspɪərɪəns
experience,v,S2,W2,,ɪkˈspɪrɪəns,ɪkˈspɪərɪəns
experienced,adj,S3,,,ɪkˈspɪrɪənst,ɪkˈspɪərɪənst
experiment,n,S3,W2,,ɪkˈsperɪmənt (strong)/ɪkˈsperɪmənt (weak),ɪkˈsperɪment (strong)/ɪkˈsperɪment (weak)
experimental,adj,,W3,,ɪkˌsperɪˈmentl,ɪkˌsperɪˈment(ə)l
expert,adj,,W3,,ˈekspɜːrt,ˈekspɜːt
expert,n,S3,W2,,ˈekspɜːrt,ˈekspɜːt
explain,v,S1,W1,ɪkˈspleɪn,,
explanation,n,S3,W2,,ˌekspləˈneɪʃn,ekspləˈneɪʃ(ə)n
explore,v,S3,W2,,ɪkˈsplɔːr,ɪkˈsplɔː
explosion,n,,W3,,ɪkˈspləʊʒn,ɪkˈspləʊʒ(ə)n
export,n,,W2,,ɪkˈspɔːrt (strong)/ɪkˈspɔːt (weak),ˈekspɔːrt (strong)/ˈekspɔːt (weak)
expose,v,,W3,ɪkˈspəʊz,,
express,v,S2,W1,ɪkˈspres,,
expression,n,S2,W2,,ɪkˈspreʃn,ɪkˈspreʃ(ə)n
extend,v,S3,W2,ɪkˈstend,,
extension,n,S3,W3,,ɪkˈstenʃn,ɪkˈstenʃ(ə)n
extensive,adj,,W3,ɪkˈstensɪv,,
extent,n,S2,W1,ɪkˈstent,,
external,adj,,W2,,ɪkˈstɜːrnl,ɪkˈstɜːn(ə)l
extra,adj,S1,W2,ˈekstrə,,
extraordinary,adj,S3,W3,,ɪkˈstrɔːrdənerɪ,ɪkˈstrɔːd(ə)n(ə)rɪ
extreme,adj,S3,W3,ɪkˈstriːm,,
extremely,adv,S2,W2,ɪkˈstriːmlɪ,,
eye,n,S1,W1,aɪ,,
face,n,S1,W1,feɪs,,
face,v,S1,W1,feɪs,,
facility,n,S2,W1,,fəˈsɪlətɪ,fəˈsɪlɪtɪ
fact,n,S1,W1,fækt,,
factor,n,S3,W1,,ˈfæktər,ˈfæktə
factory,n,S2,W2,,ˈfæktrɪ,ˈfækt(ə)rɪ
fail,v,S2,W1,feɪl,,
failure,n,S3,W2,,ˈfeɪljər,ˈfeɪljə
fair,adj,S1,W2,,fer,feə
fair,adv,S2,W3,,fer,feə
fairly,adv,S1,W2,,ˈferlɪ,ˈfeəlɪ
faith,n,S3,W2,feɪθ,,
fall,n,S2,W2,fɔːl,,
fall,v,S1,W1,fɔːl,,
false,adj,,W3,fɔːls,,
familiar,adj,S3,W2,,fəˈmɪlɪər,fəˈmɪlɪə
family,n,S1,W1,ˈfæməlɪ,,
famous,adj,S2,W2,ˈfeɪməs,,
fan,n,S3,W2,fæn,,
fancy,adj,S3,,ˈfænsɪ,,
fancy,v,S2,,ˈfænsɪ,,
fantastic,adj,S3,,fænˈtæstɪk,,
far,adj,S1,W1,,fɑːr,fɑː
far,adv,S1,W1,,fɑːr,fɑː
farm,n,S2,W2,,fɑːrm,fɑːm
farmer,n,S2,W2,,ˈfɑːrmər,ˈfɑːmə
fascinating,adj,S3,,ˈfæsɪneɪtɪŋ,,
fashion,n,S3,W2,,ˈfæʃn,ˈfæʃ(ə)n
fast,adj,S2,W2,,fæst,fɑːst
fast,adv,S2,W3,,fæst,fɑːst
fat,adj,S2,W3,fæt,,
father,n,S1,W1,,ˈfɑːðər,ˈfɑːðə
fault,n,S2,W3,fɔːlt,,
favour,n,S2,W3,,ˈfeɪvər,ˈfeɪvə
favour,v,,W3,,ˈfeɪvər,ˈfeɪvə
favourite,adj,S3,W3,,ˈfeɪvərɪt,ˈfeɪv(ə)rɪt
fear,n,S3,W1,,fɪr,fɪə
fear,v,,W2,,fɪr,fɪə
feature,n,S2,W1,,ˈfiːtʃər,ˈfiːtʃə
feature,v,,W3,,ˈfiːtʃər,ˈfiːtʃə
federal,adj,,W1,,ˈfedərəl,ˈfed(ə)r(ə)l
fee,n,S3,W3,fiː,,
feed,v,S1,W2,fiːd,,
feedback,n,S3,,ˈfiːdbæk,,
feel,v,S1,W1,fiːl,,
feeling,n,S1,W1,ˈfiːlɪŋ,,
fellow,adj,,W3,ˈfeləʊ,,
female,adj,S3,W2,ˈfiːmeɪl,,
female,n,,W3,ˈfiːmeɪl,,
fence,n,S3,,fens,,
festival,n,S3,W3,,ˈfestɪvl,ˈfestɪv(ə)l
fetch,v,S3,,fetʃ,,
few,adj/determiner/pron,S1,W1,fjuː,,
field,n,S1,W1,fiːld,,
fight,n,S2,W3,faɪt,,
fight,v,S1,W1,faɪt,,
figure,n,S1,W1,,ˈfɪɡjər,ˈfɪɡə
figure,v,S1,W3,,ˈfɪɡjər,ˈfɪɡə
file,n,S1,W2,faɪl,,
file,v,S3,W3,faɪl,,
fill,v,S1,W1,fɪl,,
film,n,S1,W1,fɪlm,,
filthy,adj,S3,,ˈfɪlθɪ,,
final,adj,S1,W1,,ˈfaɪnl,ˈfaɪn(ə)l
final,n,,W3,,ˈfaɪnl,ˈfaɪn(ə)l
finally,adv,S2,W1,ˈfaɪnəlɪ,,
finance,n,S3,W2,,ˈfaɪnæns,ˈfæɪnæns
finance,v,,W3,,ˈfaɪnæns,ˈfæɪnæns
financial,adj,S2,W1,,faɪˈnænʃl,fæɪˈnænʃ(ə)l
find,v,S1,W1,faɪnd,,
finding,n,,W2,ˈfaɪndɪŋ,,
fine,adj,S1,W1,faɪn,,
fine,adv,S3,,faɪn,,
finger,n,S2,W2,,ˈfɪŋɡər,ˈfɪŋɡə
finish,n,S3,,ˈfɪnɪʃ,,
finish,v,S1,W2,ˈfɪnɪʃ,,
fire,n,S1,W1,,ˈfaɪər,ˈfaɪə
fire,v,S3,W3,,ˈfaɪər,ˈfaɪə
firm,adj,S3,W2,,fɜːrm,fɜːm
firm,n,S1,W1,,fɜːrm,fɜːm
first,adj,S1,W1,,fɜːrst,fɜːst
first,adv,S1,W2,,fɜːrst,fɜːst
firstly,adv,S3,,,ˈfɜːrstlɪ,ˈfɜːs(t)lɪ
fish,n,S1,W1,fɪʃ,,
fish,v,S3,,fɪʃ,,
fishing,n,S3,,ˈfɪʃɪŋ,,
fit,adj,S2,W3,fɪt,,
fit,v,S1,W2,fɪt,,
fix,v,S2,W2,fɪks,,
fixed,adj,S3,W3,fɪkst,,
flash,v,S3,,flæʃ,,
flat,adj,S2,W2,flæt,,
flat,n,S2,W3,flæt,,
flavour,n,,W3,,ˈfleɪvər,ˈfleɪvə
flesh,n,,W3,fleʃ,,
flight,n,S3,W2,flaɪt,,
flood,v,,W3,flʌd,,
floor,n,S1,W1,,flɔːr,flɔː
flow,n,S3,W2,fləʊ,,
flow,v,,W3,fləʊ,,
flower,n,S2,W2,,ˈflaʊər,ˈflaʊə
fly,v,S2,W2,flaɪ,,
focus,n,S3,W2,ˈfəʊkəs,,
focus,v,S3,W2,ˈfəʊkəs,,
fold,v,,W3,fəʊld,,
folk,n,S2,W3,fəʊk,,
follow,v,S1,W1,,ˈfɑːləʊ,ˈfɒləʊ
following,adj,S3,W1,,ˈfɑːləʊɪŋ,ˈfɒləʊɪŋ
food,n,S1,W1,fuːd,,
foot,n,S1,W1,fʊt,,
football,n,S1,W2,ˈfʊtbɔːl,,
for,prep,S1,W1,,fɔːr (strong)/fər (weak),fɔː(r) (strong)/fə(r) (weak)
force,n,S2,W1,,fɔːrs,fɔːs
force,v,S2,W1,,fɔːrs,fɔːs
foreign,adj,S3,W1,,ˈfɔːrən,ˈfɒrɪn
forest,n,S2,W2,,ˈfɔːrɪst,ˈfɒrɪst
forever,adv,S2,W3,,fərˈevər,fəˈrevə
forget,v,S1,W1,,fərˈɡet,fəˈɡet
forgive,v,S3,,,fərˈɡɪv,fəˈɡɪv
fork,n,S3,,,fɔːrk,fɔːk
form,n,S1,W1,,fɔːrm,ˈfɔːm
form,v,S2,W1,,fɔːrm,ˈfɔːm
formal,adj,S2,W2,,ˈfɔːrml,ˈfɔːm(ə)l
formally,adv,S3,,,ˈfɔːrməlɪ,ˈfɔːməlɪ
formation,n,,W3,,fɔːrˈmeɪʃn,fɔːˈmeɪʃ(ə)n
former,adj,S2,W1,,ˈfɔːrmər,ˈfɔːmə
formula,n,S3,W3,,ˈfɔːrmjələ,ˈfɔːmjʊlə
forth,adv,S2,,,fɔːrθ,fɔːθ
fortnight,n,S3,,,ˈfɔːrtnaɪt,ˈfɔːtnaɪt
fortunate,adj,S3,,,ˈfɔːrtʃənət,ˈfɔːtʃ(ə)nət
fortune,n,S3,W3,,ˈfɔːrtʃən,ˈfɔːtʃuːn
forward,adj,S2,W3,,ˈfɔːrwərd,ˈfɔːwəd
forward,adv,S1,W1,,ˈfɔːrwərd,ˈfɔːwəd
foundation,n,,W2,,faʊnˈdeɪʃn,faʊnˈdeɪʃ(ə)n
frame,n,S3,W3,freɪm,,
frankly,adv,S3,,ˈfræŋklɪ,,
free,adj,S1,W1,friː,,
free,v,S3,W3,friː,,
freedom,n,S3,W2,ˈfriːdəm,,
freeway,n,S2,W3,ˈfriːweɪ,,
freeze,v,S3,W3,friːz,,
freezer,n,S3,,,ˈfriːzər,ˈfriːzə
frequent,adj,,W3,,ˈfriːkwənt (strong)/ˈfriːkwənt (weak),frɪˈkwent (strong)/frɪˈkwent (weak)
frequently,adv,S3,W2,,ˈfriːkwəntlɪ,ˈfriːkw(ə)ntlɪ
fresh,adj,S2,W2,freʃ,,
fridge,n,S2,,frɪdʒ,,
friend,n,S1,W1,frend,,
friendly,adj,S2,W3,,ˈfrendlɪ,ˈfren(d)lɪ
friendship,n,,W3,,ˈfrendʃɪp,ˈfren(d)ʃɪp
frightened,adj,S3,,ˈfraɪtnd,,
from,prep,S1,W1,,frʌm (strong)/frəm (weak),frɒm (strong)/frəm (weak)
front,adj,S1,W2,frʌnt,,
front,n,S1,W1,frʌnt,,
fruit,n,S2,W3,fruːt,,
fry,v,S3,,fraɪ,,
fuel,n,S3,W2,ˈfjuːəl,,
fulfil,v,,W3,fʊlˈfɪl,,
full,adj,S1,W1,fʊl,,
fully,adv,S2,W2,ˈfʊlɪ,,
fun,adj,S2,W3,fʌn,,
fun,n,S2,W3,fʌn,,
function,n,S3,W1,,ˈfʌŋkʃn,ˈfʌŋ(k)ʃ(ə)n
fund,n,S3,W1,fʌnd,,
fund,v,S3,W3,fʌnd,,
fundamental,adj,,W2,,ˌfʌndəˈmentl,fʌndəˈment(ə)l
funeral,n,S3,,,ˈfjuːnərəl,ˈfjuːn(ə)r(ə)l
funny,adj,S1,W3,ˈfʌnɪ,,
furniture,n,S2,W3,,ˈfɜːrnɪtʃər,ˈfɜːnɪtʃə
further,adv,S1,W1,,ˈfɜːrðər,ˈfɜːðə
fuss,n,S3,,fʌs,,
future,adj,S1,W1,,ˈfjuːtʃər,ˈfjuːtʃə
future,n,S1,W1,,ˈfjuːtʃər,ˈfjuːtʃə
gain,n,,W3,ɡeɪn,,
gain,v,S3,W2,ɡeɪn,,
gallery,n,,W3,,ˈɡælərɪ,ˈɡæl(ə)rɪ
game,n,S1,W1,ɡeɪm,,
gang,n,S3,,ɡæŋ,,
gap,n,S2,W2,ɡæp,,
garage,n,S2,,,ɡəˈrɑːʒ,ˈɡarɑː(d)ʒ
garbage,n,S3,,,ˈɡɑːrbɪdʒ,ˈɡɑːbɪdʒ
garden,n,S1,W1,,ˈɡɑːrdn,ˈɡɑːd(ə)n
garlic,n,S3,,,ˈɡɑːrlɪk,ˈɡɑːlɪk
gas,n,S1,W2,ɡæs,,
gasoline,n,S3,W3,ˈɡæsəliːn,,
gate,n,S2,W2,ɡeɪt,,
gather,v,S3,W2,,ˈɡæðər,ˈɡæðə
gay,adj,S3,W3,ɡeɪ,,
gear,n,S3,,,ɡɪr,ɡɪə
gene,n,S3,W3,dʒiːn,,
general,adj,S1,W1,,ˈdʒenrəl,ˈdʒen(ə)r(ə)l
generally,adv,S2,W1,,ˈdʒenrəlɪ,ˈdʒen(ə)rəlɪ
generate,v,S3,W2,ˈdʒenəreɪt,,
generation,n,S3,W2,,ˌdʒenəˈreɪʃn,dʒenəˈreɪʃ(ə)n
generous,adj,,W3,,ˈdʒenərəs,ˈdʒen(ə)rəs
gentle,adj,S3,W3,,ˈdʒentl,ˈdʒent(ə)l
gentleman,n,S2,W2,,ˈdʒentlmən,ˈdʒent(ə)lmən
gently,adv,,W3,ˈdʒentlɪ,,
genuine,adj,S3,W3,ˈdʒenjʊɪn,,
get,v,S1,W1,ɡet,,
giant,adj,,W3,ˈdʒaɪənt,,
gift,n,S2,W2,ɡɪft,,
girl,n,S1,W1,,ɡɜːrl,ɡɜːl
girlfriend,n,S3,,,ˈɡɜːrlfrend,ˈɡɜːlfrend
give,v,S1,W1,ɡɪv,,
glad,adj,S2,W3,ɡlæd,,
glance,n,,W3,,ɡlæns,ɡlɑːns
glass,n,S1,W1,,ɡlæs,ɡlɑːs
global,adj,,W2,,ˈɡləʊbl,ˈɡləʊb(ə)l
glove,n,S3,,ɡlʌv,,
go,n,S1,,ɡəʊ,,
go,v,S1,W1,ɡəʊ,,
goal,n,S2,W1,ɡəʊl,,
god,n,S1,W1,,ɡɑːd,ɡɒd
gold,adj,S3,W3,ɡəʊld,,
gold,n,S2,W2,ɡəʊld,,
golden,adj,,W3,,ˈɡəʊldən,ˈɡəʊld(ə)n
golf,n,S2,W3,,ɡɑːlf,ɡɒlf
good,adj,S1,W1,ɡʊd,,
good morning,interjection,S2,,,,
good night,interjection,S3,,,,
goodbye,interjection,S3,,,ˌɡʊdˈbaɪ,ɡʊdˈbaɪ
goodness,n,S2,,ˈɡʊdnəs,,
goods,n,S2,W2,,ˈɡʊdz,ɡʊdz
gorgeous,adj,S3,,,ˈɡɔːrdʒəs,ˈɡɔːdʒəs
gosh,interjection,S2,,,ɡɑːʃ,ɡɒʃ
govern,v,,W3,,ˈɡʌvərn,ˈɡʌv(ə)n
government,n,S2,W1,,ˈɡʌvərnmənt,ˈɡʌvənmənt
governor,n,,W3,,ˈɡʌvərnər,ˈɡʌv(ə)nə
grab,v,S2,W3,ɡræb,,
grade,n,S2,W3,ɡreɪd,,
gradually,adv,S3,W3,,ˈɡrædʒʊəlɪ,ˈɡrædʒʊlɪ
gram,n,S3,,ɡræm,,
grammar,n,S3,W3,,ˈɡræmər,ˈɡræmə
grand,adj,S2,W3,ɡrænd,,
grandad,n,S3,,ˈɡrændæd,,
grandfather,n,S3,,,ˈɡrænfɑːðər,ˈɡræn(d)fɑːðə
grandma,n,S2,,,ˈɡrænmɑː,ˈɡræn(d)mɑː
grandmother,n,S3,,,ˈɡrænmʌðər,ˈɡræn(d)mʌðə
grandpa,n,S3,,,ˈɡrænpɑː,ˈɡræn(d)pɑː
granny,n,S3,,ˈɡrænɪ,,
grant,n,S2,W2,,ɡrænt,ɡrɑːnt
grant,v,S2,W2,,ɡrænt,ɡrɑːnt
graph,n,S3,,,ɡræf,ɡrɑːf
grass,n,S2,W2,,ɡræs,ɡrɑːs
grateful,adj,S3,W3,,ˈɡreɪtfl,ˈɡreɪtfʊl
great,adj,S1,W1,ɡreɪt,,
greatly,adv,,W3,ˈɡreɪtlɪ,,
green,adj,S1,W2,ɡriːn,,
green,n,S2,W3,ɡriːn,,
grey,adj,S2,W2,ɡreɪ,,
grocery,n,S3,,,ˈɡrəʊsərɪ,ˈɡrəʊs(ə)rɪ
gross,adj,S3,,ɡrəʊs,,
ground,n,S1,W1,ɡraʊnd,,
group,n,S1,W1,ɡruːp,,
grow,v,S1,W1,ɡrəʊ,,
growth,n,S3,W1,ɡrəʊθ,,
guarantee,n,S3,,,ˌɡærənˈtiː,ɡær(ə)nˈtiː
guarantee,v,S2,W3,,ˌɡærənˈtiː,ɡær(ə)nˈtiː
guard,n,S3,W3,,ɡɑːrd,ɡɑːd
guess,n,S3,,ɡes,,
guess,v,S1,W3,ɡes,,
guest,n,S3,W2,ɡest,,
guidance,n,S3,W3,,ˈɡaɪdns,ˈɡaɪd(ə)ns
